year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,3,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19514.00,2938.00,814.86,80.75,701.39,0.95,1340.05,114.00,18.00,241658.00,85143.00,15254.00,39539.00,60.00,101662.00
2025,3,DL,Delta Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",956.00,152.00,58.65,1.12,41.11,0.00,51.11,5.00,6.00,10328.00,4480.00,38.00,2312.00,0.00,3498.00
2025,3,DL,Delta Air Lines Network,BNA,"Nashville, TN: Nashville International",666.00,99.00,51.13,2.77,22.98,0.00,22.13,1.00,3.00,7689.00,4135.00,215.00,1191.00,0.00,2148.00
2025,3,DL,Delta Air Lines Network,BOS,"Boston, MA: Logan International",2009.00,444.00,153.96,4.24,148.23,0.96,136.61,16.00,2.00,40225.00,19334.00,585.00,9060.00,52.00,11194.00
2025,3,DL,Delta Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",417.00,84.00,42.26,1.68,12.94,1.00,26.13,1.00,1.00,5621.00,2629.00,348.00,785.00,38.00,1821.00
2025,3,DL,Delta Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",545.00,80.00,32.78,0.31,14.41,0.00,32.49,1.00,0.00,5562.00,2429.00,24.00,747.00,0.00,2362.00
2025,3,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",784.00,223.00,80.59,0.17,104.89,0.00,37.35,5.00,6.00,12048.00,4881.00,21.00,4416.00,0.00,2730.00
2025,3,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",902.00,158.00,54.74,1.91,48.83,0.00,52.53,1.00,3.00,7633.00,3068.00,185.00,1698.00,0.00,2682.00
2025,3,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1004.00,235.00,89.87,3.74,87.71,0.00,53.68,9.00,8.00,15314.00,6216.00,477.00,5056.00,0.00,3565.00
2025,3,DL,Delta Air Lines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",4767.00,745.00,232.52,13.32,209.05,0.00,290.11,12.00,7.00,60111.00,22699.00,2545.00,11276.00,0.00,23591.00
2025,3,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",528.00,159.00,60.48,1.39,71.30,0.00,25.83,2.00,1.00,11485.00,5445.00,145.00,4109.00,0.00,1786.00
2025,3,DL,Delta Air Lines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1199.00,322.00,95.61,3.60,146.11,0.00,76.68,14.00,8.00,21706.00,6016.00,339.00,9219.00,0.00,6132.00
