UNIT_CODE,DATE,OPE_SCH_DY,ARR_PUN_DY,ARR_DY,DEP_PUN_DY,DEP_DY,DEP_PUN_WK,ARR_PUN_WK,OPE_SCH_WK,ARR_PUNCTUAL_FLIGHTS_DY,DEP_PUNCTUAL_FLIGHTS_DY,ARR_SCHED_FLIGHTS_DY,DEP_SCHED_FLIGHTS_DY,MISSING_SCHED_FLIGHTS_DY,DEP_NO_OVERFLIGHTS_DY
NM Area,2018-01-01,0.959523924251915,0.869174434087883,19295,0.81563981042654,20350,,,,15666,15489,18024,18990,840,19913
NM Area,2018-01-02,0.962493254182407,0.772376172812568,25414,0.716193293027706,25493,,,,17699,16466,22915,22991,973,24969
NM Area,2018-01-03,0.948032548449231,0.671070309001343,24602,0.625016818406063,24590,,,,14985,13936,22330,22297,1322,24117
NM Area,2018-01-04,0.961765280218707,0.773054978106064,25163,0.724760892667375,25131,,,,17478,16368,22609,22584,979,24626
NM Area,2018-01-05,0.965427143289912,0.786025072157843,25925,0.732076770806438,25996,,,,18246,17012,23213,23238,913,25495
NM Area,2018-01-06,0.965960464497828,0.781922596754057,22288,0.698943486494568,22298,,,,15658,14025,20025,20066,768,21794
NM Area,2018-01-07,0.963253035876745,0.744421460323049,24869,0.6785226922569,24867,0.711066632653729,0.768231722175754,0.960904703761847,16914,15414,22721,22717,929,24352
NM Area,2018-01-08,0.964778233320909,0.793219329589927,26406,0.73555479802284,26352,0.702098995303792,0.760400709377642,0.961649266848995,18647,17262,23508,23468,945,25885
NM Area,2018-01-09,0.968084267003314,0.840193263138703,24994,0.79894276339774,25007,0.713621300715227,0.769842335859797,0.96244499163253,18433,17532,21939,21944,809,24539
NM Area,2018-01-10,0.964566776507075,0.846979926593865,25338,0.805001812250815,25350,0.739200071753935,0.794879680172215,0.964814512818494,18692,17768,22069,22072,914,24881
NM Area,2018-01-11,0.968428724873408,0.837271727172717,25695,0.783438651922064,25732,0.747736622881383,0.804206145966709,0.965780853880152,19027,17853,22725,22788,823,25245
NM Area,2018-01-12,0.970496150871119,0.854378265412748,26860,0.802940190986765,26827,0.758454352549847,0.814545732639951,0.966548066557562,20441,19171,23925,23876,801,26348
NM Area,2018-01-13,0.971786230139625,0.840456144090376,20633,0.788067486295173,20649,0.769700746527555,0.821866587858891,0.967236700312005,15772,14807,18766,18789,586,20184
NM Area,2018-01-14,0.970904095904096,0.858964981256286,23813,0.805507272893605,23801,0.788138166267224,0.838475252897175,0.968309619056278,18789,17610,21874,21862,699,23325
NM Area,2018-01-15,0.961819351420895,0.798646655677973,25903,0.762519561815336,25850,0.792315417760067,0.839418990359697,0.967872377990785,18412,17541,23054,23004,1009,25418
NM Area,2018-01-16,0.955487212690191,0.765414099609651,24078,0.733914272256241,24058,0.78329785641286,0.829068950258986,0.966092200405842,16275,15581,21263,21230,1100,23612
NM Area,2018-01-17,0.957090282671678,0.681394498766335,24898,0.65864592863678,24887,0.762412896244679,0.805437381509254,0.96500125935933,14913,14398,21886,21860,1096,24446
NM Area,2018-01-18,0.942682142992174,0.69071276257883,25273,0.670699228095517,25379,0.745977718721772,0.784155383517987,0.961119076042565,15224,14858,22041,22153,1516,24933
NM Area,2018-01-19,0.959349297619914,0.772323869610936,26845,0.735010729162284,26819,0.735361739756984,0.771307292724307,0.959390428843457,18362,17469,23775,23767,1117,26361
NM Area,2018-01-20,0.96954752214508,0.780994167692225,20648,0.733753740914921,20685,0.728674600886046,0.763989199250239,0.959132163835982,14596,13730,18689,18712,636,20249
NM Area,2018-01-21,0.962339841991076,0.749483826565726,23933,0.714056335443618,23959,0.715572631192468,0.748293476193911,0.957970009436,16335,15565,21795,21798,920,23509
NM Area,2018-01-22,0.959380972008843,0.788623141564318,26123,0.754143765958367,25990,0.714336257673937,0.746819605120076,0.957606338899547,18300,17426,23205,23107,1084,25603
NM Area,2018-01-23,0.970125167283319,0.861295069904341,25067,0.834215005290032,25059,0.728639901786647,0.760492376008097,0.959700581198128,18728,18135,21744,21739,759,24647
