ICAO,IATA,Airport Name,Country,Fuel Supplier,Contact Email,Phone,Fuel Types,Notes
EGLL,LHR,London Heathrow,UK,World Fuel Services,heathrow@wfscorp.com,+44 20 7944 1234,['Jet A-1'],Available at all terminals; hydrant system
OMDB,DXB,Dubai International,UAE,Emarat,aviation@emarat.ae,+971 4 343 4444,['Jet A-1'],Main supplier at Terminals 1 and 3
WSSS,SIN,Singapore Changi,Singapore,ExxonMobil Aviation,aviation.sg@exxonmobil.com,+65 6885 8000,['Jet A-1'],Hydrant fueling system; 24/7 ops
LSZH,ZRH,Zurich Airport,Switzerland,Air BP,zurich@airbp.com,+41 44 804 8000,['Jet A-1'],Supports BP Sterling Card
LFPG,CDG,Paris Charles de Gaulle,France,TotalEnergies Aviation,cdg@total.com,+33 1 47 44 45 46,['Jet A-1'],Full hydrant access; SAF available on request
EGLL,LHR,London Heathrow,UK,World Fuel Services,heathrow@wfscorp.com,+44 20 7944 1234,['Jet A-1'],Available at all terminals; hydrant system
OMDB,DXB,Dubai International,UAE,Emarat,aviation@emarat.ae,+971 4 343 4444,['Jet A-1'],Main supplier at Terminals 1 and 3
WSSS,SIN,Singapore Changi,Singapore,ExxonMobil Aviation,aviation.sg@exxonmobil.com,+65 6885 8000,['Jet A-1'],Hydrant fueling system; 24/7 ops
LSZH,ZRH,Zurich Airport,Switzerland,Air BP,zurich@airbp.com,+41 44 804 8000,['Jet A-1'],Supports BP Sterling Card
LFPG,CDG,Paris Charles de Gaulle,France,TotalEnergies Aviation,cdg@total.com,+33 1 47 44 45 46,['Jet A-1'],Full hydrant access; SAF available on request
EGLL,LHR,London Heathrow,UK,World Fuel Services,heathrow@wfscorp.com,+44 20 7944 1234,['Jet A-1'],Available at all terminals; hydrant system
OMDB,DXB,Dubai International,UAE,Emarat,aviation@emarat.ae,+971 4 343 4444,['Jet A-1'],Main supplier at Terminals 1 and 3
WSSS,SIN,Singapore Changi,Singapore,ExxonMobil Aviation,aviation.sg@exxonmobil.com,+65 6885 8000,['Jet A-1'],Hydrant fueling system; 24/7 ops
LSZH,ZRH,Zurich Airport,Switzerland,Air BP,zurich@airbp.com,+41 44 804 8000,['Jet A-1'],Supports BP Sterling Card
LFPG,CDG,Paris Charles de Gaulle,France,TotalEnergies Aviation,cdg@total.com,+33 1 47 44 45 46,['Jet A-1'],Full hydrant access; SAF available on request
EGLL,LHR,London Heathrow,UK,World Fuel Services,heathrow@wfscorp.com,+44 20 7944 1234,['Jet A-1'],Available at all terminals; hydrant system
