ICAO,IATA,Airport Name,Country,Latitude,Longitude,Support,Contact,Phone
KATL,ATL,Hartsfield–Jackson Atlanta Intl,USA,33.6407,-84.4277,both,ATL Operations Center,+1-404-530-6600
OMDB,DXB,Dubai International,UAE,25.2532,55.3657,both,Dubai Airport Operations,+971-4-216-2525
KDFW,DFW,Dallas/Fort Worth Intl,USA,32.8998,-97.0403,both,DFW Airport Operations,+1-972-973-3112
RJTT,HND,Tokyo Haneda,Japan,35.5494,139.7798,fuel_only,Haneda Airport Services,+81-3-5757-8111
EGLL,LHR,London Heathrow,UK,51.47,-0.4543,both,Heathrow Operations Centre,+44-20-8759-4321
KDEN,DEN,Denver International,USA,39.8561,-104.6737,both,DEN Airport Operations,+1-303-342-2000
KORD,ORD,Chicago O'Hare Intl,USA,41.9742,-87.9073,both,ORD Operations Center,+1-773-686-2200
LTFM,IST,Istanbul Airport,Turkey,40.976,28.8146,both,Istanbul Airport Operations,+90-212-463-3000
ZSPD,PVG,Shanghai Pudong Intl,China,31.1443,121.8083,both,Pudong Airport Operations,+86-21-6834-1000
ZSSS,SHA,Shanghai Hongqiao Intl,China,31.1979,121.3364,both,Hongqiao Airport Operations,+86-21-2236-9000
KJFK,JFK,John F Kennedy Intl,USA,40.6413,-73.7781,both,JFK Airport Operations,+1-718-244-4444
RJAA,NRT,Tokyo Narita Intl,Japan,35.7647,140.3864,both,Narita Airport Operations,+81-476-34-8000
KLAX,LAX,Los Angeles Intl,USA,33.9425,-118.4081,both,LAX Airport Operations,+1-855-463-5252
EDDF,FRA,Frankfurt Airport,Germany,50.0379,8.5622,both,Fraport Operations Center,+49-69-690-70
EHAM,AMS,Amsterdam Airport Schiphol,Netherlands,52.3105,4.7683,both,Schiphol Operations,+31-20-601-9111
VIDP,DEL,Indira Gandhi Intl,India,28.5562,77.1000,both,Delhi Airport Operations,+91-11-2565-2011
LFPG,CDG,Charles de Gaulle Airport,France,49.0097,2.5479,both,CDG Operations Center,+33-1-70-36-39-50
KBOS,BOS,Boston Logan Intl,USA,42.3656,-71.0096,both,Logan Operations Center,+1-617-561-1800
KMCO,MCO,Orlando International,USA,28.4312,-81.3081,both,MCO Airport Operations,+1-407-825-2001
KLAS,LAS,McCarran Intl Las Vegas,USA,36.0840,-115.1537,both,LAS Airport Operations,+1-702-261-5211
KMIA,MIA,Miami International,USA,25.7932,-80.2906,both,MIA Airport Operations,+1-305-876-7000
KTPA,TPA,Tampa International,USA,27.9755,-82.5332,both,TPA Airport Operations,+1-813-870-8700
KSFO,SFO,San Francisco Intl,USA,37.6213,-122.3790,both,SFO Airport Operations,+1-650-821-8211
KIAD,IAD,Washington Dulles Intl,USA,38.9445,-77.4558,both,IAD Airport Operations,+1-703-572-2700
KPHX,PHX,Phoenix Sky Harbor Intl,USA,33.4343,-112.0116,both,PHX Airport Operations,+1-602-273-3300
KIAH,IAH,George Bush Intercontinental,USA,29.9902,-95.3368,both,IAH Airport Operations,+1-281-230-3100
CYYZ,YYZ,Toronto Pearson Intl,Canada,43.6777,-79.6248,both,YYZ Airport Operations,+1-416-247-7678
LEMD,MAD,Adolfo Suárez Madrid–Barajas,Spain,40.4719,-3.5626,both,Madrid Airport Operations,+34-91-321-1000
LIRF,FCO,Leonardo da Vinci–Fiumicino,Italy,41.8003,12.2389,both,Fiumicino Operations,+39-06-65951
LOWW,VIE,Vienna International,Austria,48.1103,16.5697,both,Vienna Airport Operations,+43-1-7007-0
ESSA,ARN,Stockholm Arlanda,Sweden,59.6519,17.9186,both,Arlanda Operations,+46-10-109-1000
ENGM,OSL,Oslo Airport Gardermoen,Norway,60.1939,11.1004,both,Oslo Airport Operations,+47-815-50-250
EKCH,CPH,Copenhagen Airport,Denmark,55.6181,12.6561,both,Copenhagen Operations,+45-32-31-32-31
EFHK,HEL,Helsinki Airport,Finland,60.3172,24.9633,both,Helsinki Airport Operations,+358-20-708-2841
UUEE,SVO,Sheremetyevo Intl,Russia,55.9726,37.4146,both,Sheremetyevo Operations,+7-495-578-9101
EGKK,LGW,London Gatwick,UK,51.1537,-0.1821,both,Gatwick Operations Centre,+44-1293-503-203
EGCC,MAN,Manchester Airport,UK,53.3536,-2.2750,both,Manchester Operations,+44-161-489-3000
EIDW,DUB,Dublin Airport,Ireland,53.4264,-6.2499,both,Dublin Airport Operations,+353-1-814-1111
LPPT,LIS,Lisbon Airport,Portugal,38.7813,-9.1357,both,Lisbon Airport Operations,+351-21-841-3500
LEBL,BCN,Barcelona Airport,Spain,41.2971,2.0785,both,Barcelona Operations,+34-93-298-3838
LSZH,ZUR,Zurich Airport,Switzerland,47.4647,8.5492,both,Zurich Airport Operations,+41-43-816-2211
LOWK,KLU,Klagenfurt Airport,Austria,46.6425,14.3378,ground_only,Klagenfurt Operations,+43-463-415000
LOWI,INN,Innsbruck Airport,Austria,47.2602,11.3440,fuel_only,Innsbruck Fuel Services,+43-512-225525
YMML,MEL,Melbourne Airport,Australia,-37.6690,144.8410,both,Melbourne Airport Operations,+61-3-9297-1600
YSSY,SYD,Kingsford Smith Airport,Australia,-33.9399,151.1753,both,Sydney Airport Operations,+61-2-9667-9111
NZAA,AKL,Auckland Airport,New Zealand,-37.0082,174.7850,both,Auckland Airport Operations,+64-9-275-0789
VHHH,HKG,Hong Kong Intl,Hong Kong,22.3080,113.9185,both,HKG Airport Operations,+852-2181-8888
WSSS,SIN,Singapore Changi,Singapore,1.3644,103.9915,both,Changi Airport Operations,+65-6595-6868
WIII,CGK,Soekarno–Hatta Intl,Indonesia,-6.1256,106.6559,both,Jakarta Airport Operations,+62-21-550-5307
VTBS,BKK,Suvarnabhumi Airport,Thailand,13.6900,100.7501,both,Bangkok Airport Operations,+66-2-132-1888
WMKK,KUL,Kuala Lumpur Intl,Malaysia,2.7456,101.7072,both,KLIA Operations Center,+60-3-8776-2000
RJBB,KIX,Kansai Intl,Japan,34.4347,135.2440,both,Kansai Airport Operations,+81-72-455-2500
RKSI,ICN,Incheon Intl,South Korea,37.4602,126.4407,both,Incheon Airport Operations,+82-32-741-2114
ZBAA,PEK,Beijing Capital Intl,China,40.0801,116.5846,both,Beijing Airport Operations,+86-10-9612-3456
ZGSZ,SZX,Shenzhen Bao'an Intl,China,22.6393,113.8108,both,Shenzhen Airport Operations,+86-755-2345-6789
ZGGG,CAN,Guangzhou Baiyun Intl,China,23.3924,113.2988,both,Guangzhou Airport Operations,+86-20-3606-6999
RCTP,TPE,Taiwan Taoyuan Intl,Taiwan,25.0797,121.2342,both,Taoyuan Airport Operations,+886-3-273-3728
RKPC,PUS,Busan Airport,South Korea,35.1795,128.9382,ground_only,Busan Ground Services,+82-51-973-2000
RJFF,KOJ,Kagoshima Airport,Japan,31.8034,130.7192,fuel_only,Kagoshima Fuel Services,+81-99-261-3111
SAEZ,EZE,Ezeiza Intl,Argentina,-34.8222,-58.5358,both,Ezeiza Airport Operations,+54-11-5480-6111
SBGR,GRU,São Paulo–Guarulhos Intl,Brazil,-23.4356,-46.4731,both,Guarulhos Operations,+55-11-2445-2945
SCEL,SCL,Santiago Airport,Chile,-33.3928,-70.7856,both,Santiago Airport Operations,+56-2-2690-1900
SKBO,BOG,El Dorado Intl,Colombia,4.7016,-74.1469,both,Bogota Airport Operations,+57-1-266-2000
SPJC,LIM,Jorge Chávez Intl,Peru,-12.0219,-77.1143,both,Lima Airport Operations,+51-1-517-3100
SUMU,MVD,Montevideo Airport,Uruguay,-34.8384,-56.0308,ground_only,Montevideo Ground Services,+598-2604-0329
FACT,CPT,Cape Town Intl,South Africa,-33.9715,18.6021,both,Cape Town Operations,+27-21-937-1200
FAOR,JNB,OR Tambo Intl,South Africa,-26.1367,28.2411,both,Johannesburg Operations,+27-11-921-6262
HECA,CAI,Cairo Intl,Egypt,30.1219,31.4056,both,Cairo Airport Operations,+20-2-2265-5000
HAAB,ADD,Addis Ababa Bole Intl,Ethiopia,8.9844,38.7967,both,Addis Ababa Operations,+251-11-665-1200
DTTJ,TUN,Tunis–Carthage Intl,Tunisia,36.8510,10.2272,ground_only,Tunis Ground Services,+216-71-755-000
GMMN,RAK,Marrakech Menara,Morocco,31.6069,-8.0363,fuel_only,Marrakech Fuel Services,+212-524-447865
OERK,RUH,King Khalid Intl,Saudi Arabia,24.9576,46.6988,both,Riyadh Airport Operations,+966-11-221-1000
OEJN,JED,King Abdulaziz Intl,Saudi Arabia,21.6796,39.1565,both,Jeddah Airport Operations,+966-12-684-2222
OTBD,DOH,Hamad Intl,Qatar,25.2610,51.6130,both,Doha Airport Operations,+974-4010-6666
OMAA,AUH,Abu Dhabi Intl,UAE,24.4330,54.6511,both,Abu Dhabi Operations,+971-2-505-7500
